REF-AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2018,MPCBEXPL,T,Y_GE65,CRUDE_RATE_CPAT,64.4,YY_TE6
AUS,2018,MPCBEXPL,T,Total_16,CRUDE_RATE_CPAT,62.7,YToTal
AUS,2019,MPCBEXPL,M,Y16T24,CRUDE_RATE_CPAT,70.2,YY1TT2
AUS,2019,MPCBEXPL,M,Y25T44,CRUDE_RATE_CPAT,56.4,YY2TT4
AUS,2019,MPCBEXPL,M,Y45T64,CRUDE_RATE_CPAT,58.4,YY4TT6
AUS,2019,MPCBEXPL,M,Y_GE65,CRUDE_RATE_CPAT,71.5,YY_TE6
AUS,2019,MPCBEXPL,M,Total_16,CRUDE_RATE_CPAT,60.6,YToTal
AUS,2019,MPCBEXPL,F,Y16T24,CRUDE_RATE_CPAT,70.4,YY1TT2
AUS,2019,MPCBEXPL,F,Y25T44,CRUDE_RATE_CPAT,67.4,YY2TT4
AUS,2019,MPCBEXPL,F,Y45T64,CRUDE_RATE_CPAT,68,YY4TT6
AUS,2019,MPCBEXPL,F,Y_GE65,CRUDE_RATE_CPAT,69.9,YY_TE6
AUS,2019,MPCBEXPL,F,Total_16,CRUDE_RATE_CPAT,68.4,YToTal
AUS,2019,MPCBEXPL,T,Y16T24,CRUDE_RATE_CPAT,70.4,YY1TT2
AUS,2019,MPCBEXPL,T,Y25T44,CRUDE_RATE_CPAT,61,YY2TT4
AUS,2019,MPCBEXPL,T,Y45T64,CRUDE_RATE_CPAT,63.1,YY4TT6
AUS,2019,MPCBEXPL,T,Y_GE65,CRUDE_RATE_CPAT,70.3,YY_TE6
AUS,2019,MPCBEXPL,T,Total_16,CRUDE_RATE_CPAT,62.6,YToTal
AUS,2020,MPCBEXPL,M,Y16T24,CRUDE_RATE_CPAT,74.2,YY1TT2
AUS,2020,MPCBEXPL,M,Y25T44,CRUDE_RATE_CPAT,57.4,YY2TT4
AUS,2020,MPCBEXPL,M,Y45T64,CRUDE_RATE_CPAT,61.1,YY4TT6
AUS,2020,MPCBEXPL,M,Y_GE65,CRUDE_RATE_CPAT,71.9,YY_TE6
AUS,2020,MPCBEXPL,M,Total_16,CRUDE_RATE_CPAT,63.7,YToTal
AUS,2020,MPCBEXPL,F,Y16T24,CRUDE_RATE_CPAT,69.3,YY1TT2
AUS,2020,MPCBEXPL,F,Y25T44,CRUDE_RATE_CPAT,69.8,YY2TT4
AUS,2020,MPCBEXPL,F,Y45T64,CRUDE_RATE_CPAT,67.6,YY4TT6
AUS,2020,MPCBEXPL,F,Y_GE65,CRUDE_RATE_CPAT,70.5,YY_TE6
AUS,2020,MPCBEXPL,F,Total_16,CRUDE_RATE_CPAT,69.2,YToTal
